City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Norman Wells,CA,65.282,-126.8329,-2.2,71,20,16.11,few clouds
290,Wagrowiec,PL,52.8084,17.1996,43.0,69,100,4.0,overcast clouds
291,Cockburn Town,TC,21.4612,-71.1419,82.4,69,40,9.22,scattered clouds
292,Luderitz,NA,-26.6481,15.1594,67.41,75,17,6.89,few clouds
293,Megion,RU,61.0296,76.1136,21.2,63,0,8.95,clear sky
294,Moba,CN,33.2288,105.0179,40.48,82,0,4.47,clear sky
295,Provideniya,RU,64.3833,-173.3,13.93,95,100,11.56,snow
296,Hamina,FI,60.5697,27.1979,37.4,81,0,10.36,clear sky
297,Svetlyy,RU,54.675,20.1347,37.4,93,90,11.18,overcast clouds
298,Marshall,US,34.3834,-86.3333,60.01,82,75,4.61,moderate rain
299,Zeya,RU,53.75,127.2667,-3.68,96,11,2.84,few clouds
300,Bonavista,CA,48.6499,-53.1147,59.0,23,1,12.66,clear sky
301,Severodvinsk,RU,64.5635,39.8302,30.2,69,75,11.18,light snow
302,Sukumo,JP,32.9333,132.7333,46.63,72,0,1.34,clear sky
303,Exeter,GB,50.7236,-3.5275,52.0,73,46,1.01,scattered clouds
304,Danjiangkou,CN,32.5428,111.5086,50.27,78,0,2.1,clear sky
305,Axim,GH,4.8699,-2.2405,81.14,79,99,9.28,overcast clouds
306,Maldonado,UY,-34.6667,-54.9167,73.99,78,75,10.36,broken clouds
307,Katwa,IN,23.6399,88.128,80.01,39,12,8.23,few clouds
308,Haines Junction,CA,60.7522,-137.5108,15.8,67,100,2.04,overcast clouds
309,Gernsheim,DE,49.76,8.4958,50.0,60,47,2.84,scattered clouds
310,Ucluelet,CA,48.9329,-125.5528,43.0,93,90,2.3,overcast clouds
311,Quesnel,CA,52.9999,-122.5029,33.8,69,40,8.05,scattered clouds
312,Cerrito,CO,6.8432,-72.694,77.0,69,75,6.91,broken clouds
313,Clyde River,CA,70.4692,-68.5914,-13.0,64,75,11.5,broken clouds
314,Novo Aripuana,BR,-5.1206,-60.3797,81.14,88,98,1.79,overcast clouds
315,Boa Esperanca Do Sul,BR,-21.9925,-48.3908,91.29,37,28,4.03,scattered clouds
316,Merauke,ID,-8.4667,140.3333,80.71,80,100,3.69,overcast clouds
317,Suntar,RU,62.1444,117.6319,-5.22,98,99,2.73,overcast clouds
318,Faanui,PF,-16.4833,-151.75,83.28,74,16,19.55,light rain
319,Mareeba,AU,-17.0,145.4333,78.8,78,75,1.14,broken clouds
320,Tommot,RU,58.9564,126.2925,-20.29,99,86,1.77,overcast clouds
321,Quatre Cocos,MU,-20.2078,57.7625,81.0,89,75,6.91,broken clouds
322,Grand Baie,MU,-20.0182,57.5802,81.0,83,11,1.99,few clouds
323,Krasnyy Chikoy,RU,50.3643,108.7512,23.94,95,74,2.24,broken clouds
324,Rio Gallegos,AR,-51.6226,-69.2181,55.4,44,90,28.77,overcast clouds
325,Marzuq,YE,14.4,46.4667,68.92,36,0,7.14,clear sky
326,Ossora,RU,59.2353,163.0719,14.88,66,45,19.64,scattered clouds
327,Bemidji,US,47.4736,-94.8803,52.0,43,1,12.66,clear sky
328,Moron,AR,-34.6534,-58.6198,81.0,49,0,3.0,clear sky
329,Lavrentiya,RU,65.5833,-171.0,7.61,95,100,11.59,snow
330,Esmeraldas,BR,-19.7625,-44.3139,87.8,40,40,3.44,scattered clouds
331,Half Moon Bay,US,37.4636,-122.4286,57.2,50,1,10.36,clear sky
332,Kholodnyy,RU,62.7167,147.95,-4.25,99,100,3.67,overcast clouds
333,Coahuayana,MX,18.7333,-103.6833,77.0,41,1,7.56,clear sky
334,Naftalan,AZ,40.5067,46.825,50.0,81,75,6.91,broken clouds
335,Sumenep,ID,-7.0167,113.8667,78.69,85,100,3.13,overcast clouds
336,Madinat Sittah Uktubar,EG,29.8167,31.05,64.94,56,74,16.49,broken clouds
337,Nargana,PA,9.4428,-78.5906,83.25,62,71,7.63,broken clouds
338,Camacha,PT,33.0833,-16.3333,64.4,55,20,13.8,few clouds
339,Berezovyy,RU,51.6667,135.7,7.09,72,11,6.96,few clouds
