City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Mae Hong Son,TH,2021-03-19 16:47:02,19.3003,97.9685,77.97,41,1,1.39
250,Wattegama,LK,2021-03-19 16:47:03,6.7989,81.4808,75.2,100,40,2.51
251,Varnamo,SE,2021-03-19 16:47:03,57.186,14.04,33.01,37,0,5.01
252,Karratha,AU,2021-03-19 16:47:03,-20.7377,116.8463,78.64,60,1,19.24
253,Maldonado,UY,2021-03-19 16:47:04,-34.6667,-54.9167,71.01,56,0,4.61
254,Saint-Joseph,RE,2021-03-19 16:47:04,-21.3667,55.6167,77.0,83,75,18.41
255,San Vicente,AR,2021-03-19 16:47:04,-26.6167,-54.1333,89.87,32,18,4.81
256,Kholodnyy,RU,2021-03-19 16:47:05,62.7167,147.95,-21.69,95,0,2.26
257,Port Hedland,AU,2021-03-19 16:47:05,-20.3167,118.5667,73.4,60,35,13.8
258,Mitsamiouli,KM,2021-03-19 16:47:06,-11.3847,43.2844,83.43,73,82,3.36
259,Vestmannaeyjar,IS,2021-03-19 16:47:06,63.4427,-20.2734,46.4,93,90,21.85
260,Lata,PT,2021-03-19 16:47:06,40.1629,-8.3327,61.0,58,0,19.57
261,Anadyr,RU,2021-03-19 16:47:07,64.75,177.4833,-20.0,69,0,8.95
262,Darhan,MN,2021-03-19 16:47:07,49.4867,105.9228,11.03,81,41,1.54
263,Narsaq,GL,2021-03-19 16:47:07,60.9167,-46.05,30.2,40,75,5.75
264,Magdalena,PH,2021-03-19 16:47:08,14.1999,121.429,82.0,77,48,4.0
265,Hami,CN,2021-03-19 16:47:08,42.8,93.45,34.63,20,0,11.88
266,Torbay,CA,2021-03-19 16:43:14,47.6666,-52.7314,43.0,87,90,33.38
267,Lieksa,FI,2021-03-19 16:47:09,63.3167,30.0167,9.81,90,76,2.21
268,Winnemucca,US,2021-03-19 16:47:09,40.973,-117.7357,48.2,61,75,5.75
269,Bredasdorp,ZA,2021-03-19 16:47:09,-34.5322,20.0403,68.0,60,100,8.05
270,Bambous Virieux,MU,2021-03-19 16:47:10,-20.3428,57.7575,78.8,78,40,6.91
271,Hamilton,US,2021-03-19 16:46:54,39.1834,-84.5333,46.0,36,1,18.41
272,Honningsvag,NO,2021-03-19 16:47:10,70.9821,25.9704,32.0,93,90,27.63
273,Varhaug,NO,2021-03-19 16:47:11,58.6147,5.6457,39.0,79,61,3.0
274,Sahuaripa,MX,2021-03-19 16:47:11,29.05,-109.2333,76.91,12,0,2.98
